Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002188,Male,No,0,Graduate,No,5124,0,124,,0,Rural,N
LP002190,Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Y
LP002191,Male,Yes,0,Graduate,No,19730,5266,570,360,1,Rural,N
LP002194,Female,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,Y
LP002197,Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Y
LP002201,Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,Y
LP002205,Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,N
LP002209,Female,No,0,Graduate,,2764,1459,110,360,1,Urban,Y
LP002211,Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Y
LP002219,Male,Yes,3+,Graduate,No,8750,4996,130,360,1,Rural,Y
LP002223,Male,Yes,0,Graduate,No,4310,0,130,360,,Semiurban,Y
LP002224,Male,No,0,Graduate,No,3069,0,71,480,1,Urban,N
LP002225,Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
LP002226,Male,Yes,0,Graduate,,3333,2500,128,360,1,Semiurban,Y
LP002229,Male,No,0,Graduate,No,5941,4232,296,360,1,Semiurban,Y
LP002231,Female,No,0,Graduate,No,6000,0,156,360,1,Urban,Y
LP002234,Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Y
LP002236,Male,Yes,2,Graduate,No,4566,0,100,360,1,Urban,N
LP002237,Male,No,1,Graduate,,3667,0,113,180,1,Urban,Y
LP002239,Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,Y
LP002243,Male,Yes,0,Not Graduate,No,3010,3136,,360,0,Urban,N
LP002244,Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Y
LP002250,Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Y
LP002255,Male,No,3+,Graduate,No,9167,0,185,360,1,Rural,Y
LP002262,Male,Yes,3+,Graduate,No,9504,0,275,360,1,Rural,Y
LP002263,Male,Yes,0,Graduate,No,2583,2115,120,360,,Urban,Y
LP002265,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
LP002266,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
LP002272,Male,Yes,2,Graduate,No,3276,484,135,360,,Semiurban,Y
LP002277,Female,No,0,Graduate,No,3180,0,71,360,0,Urban,N
